[01:00:09] [main/INFO]: Loading Minecraft 1.18.1 with Fabric Loader 0.12.12
[01:00:09] [main/WARN]: Warnings were found!
 - Mod 'Fabric Rendering Fluids (v1)' (fabric-rendering-fluids-v1) 0.1.18+3ac43d9565 recommends any version of fabric-textures-v0, which is disabled for this environment (client/server only)!
	 - You should install any version of fabric-textures-v0 for the optimal experience.
[01:00:09] [main/INFO]: Loading 39 mods:
	- fabric 0.45.0+1.18
	- fabric-api-base 0.4.1+b4f4f6cd65 via fabric
	- fabric-api-lookup-api-v1 1.5.0+17be577f65 via fabric
	- fabric-biome-api-v1 6.0.1+ded849a965 via fabric
	- fabric-command-api-v1 1.1.6+3ac43d9565 via fabric
	- fabric-commands-v0 0.2.5+b4f4f6cd65 via fabric
	- fabric-containers-v0 0.1.18+d154e2c665 via fabric
	- fabric-content-registries-v0 0.4.5+6f53a73d65 via fabric
	- fabric-crash-report-info-v1 0.1.8+3ac43d9565 via fabric
	- fabric-dimensions-v1 2.1.7+43d2957165 via fabric
	- fabric-entity-events-v1 1.4.5+6b21378a65 via fabric
	- fabric-events-interaction-v0 0.4.16+bfa23f1765 via fabric
	- fabric-events-lifecycle-v0 0.2.6+b4f4f6cd65 via fabric
	- fabric-game-rule-api-v1 1.0.10+3ac43d9565 via fabric
	- fabric-item-api-v1 1.3.0+691a79b565 via fabric
	- fabric-item-groups-v0 0.3.3+3ac43d9565 via fabric
	- fabric-lifecycle-events-v1 1.4.10+c15ca33565 via fabric
	- fabric-loot-tables-v1 1.0.8+3ac43d9565 via fabric
	- fabric-mining-level-api-v1 1.0.3+3ac43d9565 via fabric
	- fabric-mining-levels-v0 0.1.7+b4f4f6cd65 via fabric
	- fabric-networking-api-v1 1.0.18+3ac43d9565 via fabric
	- fabric-networking-v0 0.3.5+b4f4f6cd65 via fabric
	- fabric-object-builder-api-v1 1.11.0+3b82842e65 via fabric
	- fabric-object-builders-v0 0.7.8+3ac43d9565 via fabric
	- fabric-particles-v1 0.2.9+526dc1ac65 via fabric
	- fabric-registry-sync-v0 0.8.6+533be9ba65 via fabric
	- fabric-rendering-data-attachment-v1 0.3.4+7242e9d765 via fabric
	- fabric-rendering-fluids-v1 0.1.18+3ac43d9565 via fabric
	- fabric-resource-loader-v0 0.4.11+3ac43d9565 via fabric
	- fabric-screen-handler-api-v1 1.1.11+3ac43d9565 via fabric
	- fabric-structure-api-v1 2.0.8+295197a765 via fabric
	- fabric-tag-extensions-v0 1.2.5+3ac43d9565 via fabric
	- fabric-tool-attribute-api-v1 1.3.4+7de09f5565 via fabric
	- fabric-transfer-api-v1 1.5.6+b4f4f6cd65 via fabric
	- fabricloader 0.12.12
	- java 17
	- lithium 0.7.6
	- minecraft 1.18.1
	- servux 0.1.0
[01:00:10] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.4 Source=file:/opt/mscs/worlds/faro/libraries/net/fabricmc/sponge-mixin/0.10.7+mixin.0.8.4/sponge-mixin-0.10.7+mixin.0.8.4.jar Service=Knot/Fabric Env=SERVER
[01:00:10] [main/INFO]: Compatibility level set to JAVA_16
[01:00:10] [main/INFO]: Loaded configuration file for Lithium: 87 options available, 0 override(s) found
[01:00:13] [main/WARN]: @Inject(@At("INVOKE")) Shift.BY=3 on fabric-lifecycle-events-v1.mixins.json:server.WorldChunkMixin::handler$zca000$onLoadBlockEntity exceeds the maximum allowed value: 0. Increase the value of maxShiftBy to suppress this warning.
[01:00:16] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[01:00:17] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:00:17] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:00:17] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:00:17] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:00:17] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:00:17] [main/INFO]: Reloading ResourceManager: Default, Fabric Mods (Fabric Tool Attribute API (v1)), afk display v1.1.2.zip, anti enderman grief v1.1.2.zip, armor statues v2.8.3.zip, cauldron concrete v2.0.5.zip, coordinates hud v1.2.2.zip, count mob deaths v1.1.2.zip, double shulker shells v1.3.2.zip, fast leaf decay v2.0.5.zip, more mob heads v2.9.4.zip, player head drops v1.1.2.zip, silence mobs v1.1.2.zip, spectator conduit power v1.1.2.zip, spectator night vision v1.1.2.zip, track raw statistics v1.5.2.zip, track statistics v1.1.3.zip, villager workstation highlights v1.1.2.zip, wandering trades v1.5.1.zip
[01:00:18] [Worker-Main-9/INFO]: Loaded 7 recipes
[01:00:18] [Worker-Main-9/WARN]: Found validation problem in {minecraft:entities/ender_dragon}.pools[0].entries[0]: Unknown loot table called minecraft:entities/reference/extra/ender_dragon
[01:00:18] [Worker-Main-9/INFO]: Loaded 1162 advancements
[01:00:20] [main/INFO]: Applied 0 biome modifications to 0 of 61 new biomes in 3.517 ms
[01:00:22] [Server thread/INFO]: Starting minecraft server version 1.18.1
[01:00:22] [Server thread/INFO]: Loading properties
[01:00:22] [Server thread/INFO]: Default game type: SURVIVAL
[01:00:22] [Server thread/INFO]: Generating keypair
[01:00:22] [Server thread/INFO]: Starting Minecraft server on *:25565
[01:00:22] [Server thread/INFO]: Using epoll channel type
[01:00:23] [Server thread/INFO]: Preparing level "faro"
[01:00:23] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[01:00:25] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[01:00:25] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[01:00:25] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[01:00:25] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[01:00:25] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[01:00:26] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[01:00:26] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[01:00:27] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[01:00:33] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[01:00:33] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[01:00:33] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[01:00:33] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[01:00:33] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[01:00:33] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[01:00:33] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[01:00:33] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[01:00:33] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[01:00:33] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[01:00:33] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[01:00:33] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[01:00:33] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[01:00:34] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[01:00:34] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[01:00:35] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[01:00:35] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[01:00:36] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[01:00:36] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[01:00:37] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[01:00:37] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[01:00:38] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[01:00:38] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[01:00:39] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[01:00:39] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[01:00:40] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[01:00:40] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[01:00:41] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[01:00:41] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[01:00:42] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[01:00:42] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[01:00:43] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[01:00:43] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[01:00:44] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[01:00:44] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[01:00:45] [Worker-Main-10/INFO]: Preparing spawn area: 2%
[01:00:45] [Worker-Main-14/INFO]: Preparing spawn area: 5%
[01:00:46] [Worker-Main-9/INFO]: Preparing spawn area: 8%
[01:00:46] [Worker-Main-10/INFO]: Preparing spawn area: 11%
[01:00:47] [Worker-Main-8/INFO]: Preparing spawn area: 14%
[01:00:47] [Worker-Main-9/INFO]: Preparing spawn area: 17%
[01:00:48] [Worker-Main-9/INFO]: Preparing spawn area: 20%
[01:00:48] [Worker-Main-9/INFO]: Preparing spawn area: 24%
[01:00:49] [Worker-Main-12/INFO]: Preparing spawn area: 28%
[01:00:49] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[01:00:50] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[01:00:50] [Worker-Main-14/INFO]: Preparing spawn area: 37%
[01:00:51] [Worker-Main-11/INFO]: Preparing spawn area: 39%
[01:00:51] [Worker-Main-14/INFO]: Preparing spawn area: 40%
[01:00:52] [Worker-Main-14/INFO]: Preparing spawn area: 41%
[01:00:52] [Worker-Main-10/INFO]: Preparing spawn area: 42%
[01:00:53] [Worker-Main-12/INFO]: Preparing spawn area: 42%
[01:00:53] [Worker-Main-9/INFO]: Preparing spawn area: 44%
[01:00:54] [Worker-Main-12/INFO]: Preparing spawn area: 44%
[01:00:54] [Worker-Main-8/INFO]: Preparing spawn area: 51%
[01:00:55] [Worker-Main-14/INFO]: Preparing spawn area: 54%
[01:00:55] [Worker-Main-10/INFO]: Preparing spawn area: 55%
[01:00:56] [Worker-Main-10/INFO]: Preparing spawn area: 57%
[01:00:56] [Worker-Main-9/INFO]: Preparing spawn area: 63%
[01:00:57] [Worker-Main-12/INFO]: Preparing spawn area: 64%
[01:00:57] [Worker-Main-11/INFO]: Preparing spawn area: 73%
[01:00:58] [Worker-Main-10/INFO]: Preparing spawn area: 79%
[01:00:58] [Worker-Main-10/INFO]: Preparing spawn area: 82%
[01:00:59] [Worker-Main-8/INFO]: Preparing spawn area: 86%
[01:00:59] [Worker-Main-9/INFO]: Preparing spawn area: 89%
[01:01:00] [Worker-Main-9/INFO]: Preparing spawn area: 98%
[01:01:00] [Server thread/INFO]: Time elapsed: 36905 ms
[01:01:00] [Server thread/INFO]: Done (37.437s)! For help, type "help"
[01:01:00] [Server thread/INFO]: Starting GS4 status listener
[01:01:00] [Server thread/INFO]: Thread Query Listener started
[01:01:00] [Query Listener #1/INFO]: Query running on 0.0.0.0:25565
[01:01:03] [Server thread/WARN]: UUID of added entity already exists: class_1531['Armor Stand'/155, l='ServerLevel[faro]', x=16562064.50, y=1000.00, z=-22242911.50]
